"","X","GAD.1","GAD.2","GAD.3","GAD.4","GAD.5","GAD.6","GAD.7","FOC.1","FOC.2","FOC.3","FOC.4","FOC.5","FOC.6","IUS.1","IUS.2","IUS.3","MAAS.1","MAAS.2","MAAS.3","MAAS.4","MAAS.5","FinancePlan","MortalityRisk","MentalHealth","CRA.1","CRA.2","CRA.3","CRA.4","CRA.5","CRA.6","Government","Norm","CurrentBehavior","RAB.1","RAB.2","RAB.3","RAB.4","RAB.5","RAB.6","Stockpil","RiskPerception","Vaccine","Origin","BacktoNormal","News","Born","Gender","Country","Region","Education","Language","Ethnicity","Children","LiveWith","FinancialSatisfaction","GAD.mean","FOC.mean","IUS.mean","MAAS.mean","CRA.mean","RAB.mean","sex","edu","origin","age","vac_hes","child","news_opposite","new_ethnicity","new_region","origin_binomial","new_back_normal","new_finance_plan"
"1",1,4,2,4,3,3,2,1,3,5,2,4,5,2,3,4,2,5,2,5,5,4,8,90,2,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,3,1,1,3,4,9,1,1,12,5,4,2,2,2,90,2.71428571428571,3.5,3,4.2,1,4,"Female","pg","natural",25,1,"no",3,"other","south",1,"less6months",0
"2",2,2,2,3,3,3,3,2,4,4,4,3,4,4,4,4,4,2,2,2,4,2,6,75,1,4,2,1,3,3,2,1,2,4,1,1,1,2,1,1,1,65,1,1,4,5,21,1,1,5,5,1,5,2,1,95,2.57142857142857,3.83333333333333,4,2.4,2.5,1.16666666666667,"Female","pg","natural",37,1,"no",2,"white","north",1,"6to12months",6
"3",3,2,1,1,1,1,2,2,4,4,4,5,4,5,3,5,3,5,3,2,3,4,3,100,2,2,1,3,1,2,2,2,3,3,4,4,3,4,1,3,2,31,1,1,4,3,10,1,1,12,5,1,5,2,3,53,1.42857142857143,4.33333333333333,3.66666666666667,3.4,1.83333333333333,3.16666666666667,"Female","pg","natural",26,1,"no",4,"white","south",1,"6to12months",3
"4",4,2,1,2,1,1,2,1,5,4,4,4,3,5,4,4,1,4,5,4,5,5,6,86,2,2,1,2,3,1,1,2,3,3,1,1,1,2,1,1,1,3,1,2,4,5,18,1,1,12,5,5,5,2,2,83,1.42857142857143,4.16666666666667,3,4.6,1.66666666666667,1.16666666666667,"Female","pg","artificial",34,1,"no",2,"white","south",0,"6to12months",6
"5",5,2,1,2,2,2,2,2,5,5,5,4,4,5,4,5,2,3,4,3,5,4,3,63,1,3,3,1,3,3,4,2,3,5,3,3,2,3,1,3,3,65,1,1,5,3,42,1,1,8,5,1,5,1,3,82,1.85714285714286,4.66666666666667,3.66666666666667,3.8,2.83333333333333,2.5,"Female","pg","natural",58,1,"yes",4,"white","midlands",1,"more12months",3
"6",6,1,1,1,2,1,1,1,4,4,4,2,4,4,4,2,1,6,4,6,6,6,3,99,2,2,1,2,1,1,1,2,3,3,3,3,3,3,1,3,1,100,1,1,5,4,21,2,1,10,4,1,5,1,3,100,1.14285714285714,3.66666666666667,2.33333333333333,5.6,1.33333333333333,2.66666666666667,"Male","ug","natural",37,1,"yes",3,"white","south",1,"more12months",3
"7",8,2,2,1,1,1,2,2,4,4,4,3,5,3,3,4,4,6,6,6,3,6,8,100,2,4,3,1,3,3,1,3,4,3,4,4,4,4,1,4,1,40,1,1,0,4,29,2,1,12,4,1,5,2,3,60,1.57142857142857,3.83333333333333,3.66666666666667,5.4,2.5,3.5,"Male","ug","natural",45,1,"no",3,"white","south",1,"other",0
"8",9,2,1,1,1,1,1,1,4,3,4,4,4,4,2,4,2,5,4,4,4,4,4,100,2,4,1,2,4,2,1,1,3,3,1,1,1,2,1,1,1,85,1,1,5,3,21,1,1,12,5,1,5,2,3,40,1.14285714285714,3.83333333333333,2.66666666666667,4.2,2.33333333333333,1.16666666666667,"Female","pg","natural",37,1,"no",4,"white","south",1,"more12months",4
"9",10,2,1,1,2,3,2,1,4,4,4,2,2,4,4,3,3,3,3,3,3,3,7,75,2,3,2,2,4,2,2,1,1,4,4,4,3,3,2,3,1,100,1,1,4,3,15,1,184,10,5,20,3,2,2,37,1.71428571428571,3.33333333333333,3.33333333333333,3,2.5,3.16666666666667,"Female","pg","natural",31,1,"no",4,"other","south",1,"6to12months",7
"10",11,3,3,2,4,1,3,2,5,5,5,5,5,5,4,5,2,3,2,1,4,2,3,80,2,4,3,4,1,4,2,1,4,4,3,1,4,4,1,4,4,75,1,1,5,6,20,1,1,11,5,11,5,2,3,50,2.57142857142857,5,3.66666666666667,2.4,3,2.83333333333333,"Female","pg","natural",36,1,"no",1,"white","south",1,"more12months",3
"11",12,2,2,2,2,1,2,1,5,4,4,3,3,4,2,4,1,3,4,4,4,3,3,70,2,3,1,2,2,2,1,4,2,4,4,4,4,4,2,4,3,50,1,3,3,4,20,2,1,10,3,18,0,2,2,89,1.71428571428571,3.83333333333333,2.33333333333333,3.6,1.83333333333333,3.66666666666667,"Male","below_ug","not_sure",36,1,"no",3,"other","south",0,"less6months",3
"12",13,3,3,4,3,1,4,3,5,5,5,5,5,5,1,5,1,6,6,5,6,5,7,70,2,4,3,3,2,2,3,1,3,4,4,3,3,3,1,4,2,90,1,1,5,4,27,1,1,8,5,1,5,2,3,51,3,5,2.33333333333333,5.6,2.83333333333333,3,"Female","pg","natural",43,1,"no",3,"white","midlands",1,"more12months",7
"13",14,4,4,4,3,4,3,4,4,4,5,4,5,4,3,4,1,4,5,3,4,5,2,74.8669131238447,1,4,4,2,4,4,4,2,3,4,4,3,2,2,1,4,2,80,1,3,0,3,21,1,1,9,5,1,6,1,3,80,3.71428571428571,4.33333333333333,2.66666666666667,4.2,3.66666666666667,2.66666666666667,"Female","pg","not_sure",37,1,"yes",4,"other","south",0,"other",2
"14",15,2,2,2,2,2,2,2,5,5,4,4,5,5,1,1,1,4,3,4,3,3,6,90,2,2,1,1,1,2,1,2,4,3,4,4,4,1,1,4,1,53,2,2,3,1,37,2,1,3,5,1,5,2,3,36,2,4.66666666666667,1,3.4,1.33333333333333,3,"Male","pg","artificial",53,0,"no",6,"white","non_England",0,"less6months",6
"15",16,2,2,1,2,1,2,2,4,4,4,3,4,5,2,3,4,5,5,3,4,4,5,65,1,3,2,2,3,2,2,2,3,3,4,4,4,3,2,4,1,60,1,1,5,3,25,1,1,12,5,1,5,2,3,70,1.71428571428571,4,3,4.2,2.33333333333333,3.5,"Female","pg","natural",41,1,"no",4,"white","south",1,"more12months",5
