"","X","GAD.1","GAD.2","GAD.3","GAD.4","GAD.5","GAD.6","GAD.7","FOC.1","FOC.2","FOC.3","FOC.4","FOC.5","FOC.6","IUS.1","IUS.2","IUS.3","MAAS.1","MAAS.2","MAAS.3","MAAS.4","MAAS.5","FinancePlan","MortalityRisk","MentalHealth","CRA.1","CRA.2","CRA.3","CRA.4","CRA.5","CRA.6","Government","Norm","CurrentBehavior","RAB.1","RAB.2","RAB.3","RAB.4","RAB.5","RAB.6","Stockpil","RiskPerception","Vaccine","Origin","BacktoNormal","News","Born","Gender","Country","Region","Education","Language","Children","LiveWith","FinancialSatisfaction","GAD.mean","FOC.mean","IUS.mean","MAAS.mean","CRA.mean","RAB.mean","sex","edu","origin","origin_binomial","age","vac_hes","child","news_opposite","new_region","new_back_normal","new_finance_plan"
"1",1,2,2,2,2,2,2,2,3,4,3,2,2,3,4,5,5,2,3,4,3,2,4,20,2,4,3,4,4,4,3,1,2,3,4,3,4,4,4,4,3,90,1,1,5,5,21,1,1,2,4,1,2,2,35,2,2.83333333333333,4.66666666666667,2.8,3.66666666666667,3.83333333333333,"Female","ug","natural",1,37,1,"no",2,"istanbul","more12months",4
"2",2,2,3,3,2,1,2,2,3,2,2,4,2,2,2,4,1,4,3,5,3,3,2,75,2,4,3,2,3,3,4,2,1,3,4,3,4,4,4,4,3,54,1,2,5,3,12,1,1,3,5,2,2,3,67,2.14285714285714,2.5,2.33333333333333,3.6,3.16666666666667,3.83333333333333,"Female","pg","artificial",0,28,1,"no",4,"ankara","more12months",2
"3",3,2,1,2,2,2,3,3,4,3,4,4,4,4,4,4,4,4,4,5,5,3,2,67,2,4,4,1,4,3,4,1,2,4,4,4,4,4,4,4,3,56,3,1,5,3,13,1,1,4,5,1,2,3,5,2.14285714285714,3.83333333333333,4,4.2,3.33333333333333,4,"Female","pg","natural",1,29,0,"no",4,"izmir","more12months",2
"4",4,4,4,4,4,4,4,3,5,5,4,3,4,5,5,5,5,6,6,3,1,2,5,74,1,4,2,1,4,3,4,1,1,5,4,4,4,4,1,4,4,53,1,1,0,1,4,1,1,4,3,2,2,3,71,3.85714285714286,4.33333333333333,5,3.6,3,3.5,"Female","below_ug","natural",1,20,1,"no",6,"izmir","other",5
"5",5,2,2,2,2,1,3,1,4,4,4,3,3,4,1,4,4,5,3,4,3,3,1,40,2,3,2,4,4,1,4,1,1,3,4,3,4,4,1,4,2,60,2,3,5,4,12,2,1,4,4,1,2,3,30,1.85714285714286,3.66666666666667,3,3.6,3,3.33333333333333,"Male","ug","not_sure",0,28,0,"no",3,"izmir","more12months",1
"6",6,2,2,2,4,1,3,1,3,3,3,4,4,4,1,4,3,6,6,6,3,2,1,69,2,3,1,1,1,1,1,3,3,5,2,1,1,4,1,3,1,5,1,1,5,3,7,1,1,56,4,1,2,3,0,2.14285714285714,3.5,2.66666666666667,4.6,1.33333333333333,2,"Female","ug","natural",1,23,1,"no",4,"other","more12months",1
"7",7,3,4,3,3,2,3,2,5,4,4,4,4,4,3,5,4,5,3,3,3,1,1,49,1,3,4,1,4,3,4,3,2,5,4,2,4,3,4,4,1,24,3,2,3,4,7,1,1,4,4,1,2,3,80,2.85714285714286,4.16666666666667,4,3,3.16666666666667,3.5,"Female","ug","artificial",0,23,0,"no",3,"izmir","less6months",1
"8",8,2,1,2,3,2,4,1,3,5,4,3,4,4,1,1,3,4,1,5,2,3,3,88,2,3,1,2,2,1,3,2,2,1,3,2,1,4,3,4,4,0,1,2,4,4,6,1,1,14,3,1,2,2,43,2.14285714285714,3.83333333333333,1.66666666666667,3,2,2.83333333333333,"Female","below_ug","artificial",0,22,1,"no",3,"other","6to12months",3
"9",9,2,1,1,1,1,2,1,2,2,2,4,4,5,3,3,2,6,6,6,4,2,2,0,2,4,2,2,3,4,2,1,2,3,4,4,4,4,4,4,2,70,1,1,4,2,13,1,1,10,4,1,2,3,60,1.28571428571429,3.16666666666667,2.66666666666667,4.8,2.83333333333333,4,"Female","ug","natural",1,29,1,"no",5,"other","6to12months",2
"10",10,2,1,2,2,2,4,2,2,4,1,2,1,3,3,3,3,5,4,6,2,4,2,65,1,4,3,3,3,2,2,4,1,2,3,2,2,3,3,2,2,23,1,2,3,5,7,2,1,4,3,1,2,3,70,2.14285714285714,2.16666666666667,3,4.2,2.83333333333333,2.5,"Male","below_ug","artificial",0,23,1,"no",2,"izmir","less6months",2
"11",11,1,1,1,1,1,1,1,5,2,5,2,3,4,1,4,1,6,6,6,5,5,6,48,2,4,1,2,3,1,1,1,2,3,1,1,4,4,1,1,2,100,2,1,3,3,8,2,1,24,4,1,2,3,100,1,3.5,2,5.6,2,2,"Male","ug","natural",1,24,0,"no",4,"other","less6months",6
"12",12,4,3,4,4,2,3,2,2,4,3,3,2,3,3,4,5,5,5,3,3,3,7,1,1,4,2,3,1,3,4,1,1,5,4,3,4,4,1,4,2,66,3,1,3,5,13,3,1,4,4,1,2,3,0,3.14285714285714,2.83333333333333,4,3.8,2.83333333333333,3.33333333333333,"Other","ug","natural",1,29,0,"no",2,"izmir","less6months",0
"13",13,4,4,3,4,3,4,4,4,2,4,3,3,4,5,4,5,3,4,3,3,2,2,0,2,4,3,4,4,3,3,3,2,3,3,3,4,4,4,4,1,50,1,3,4,3,8,1,1,3,4,1,2,1,0,3.71428571428571,3.33333333333333,4.66666666666667,3,3.5,3.66666666666667,"Female","ug","not_sure",0,24,1,"no",4,"ankara","6to12months",2
"14",14,2,2,2,2,2,2,2,5,2,5,2,3,3,3,3,4,2,3,4,2,2,2,34,1,4,2,4,2,3,4,2,2,4,4,3,4,4,3,4,2,37,1,1,3,3,11,1,1,36,4,1,2,1,42,2,3.33333333333333,3.33333333333333,2.6,3.16666666666667,3.66666666666667,"Female","ug","natural",1,27,1,"no",4,"other","less6months",2
"15",15,2,3,2,4,2,2,2,4,4,5,4,5,4,4,4,4,3,4,5,2,3,2,70,2,4,4,3,4,4,4,1,1,3,4,3,4,4,4,4,1,55,1,1,5,1,6,1,1,4,3,1,2,3,45,2.42857142857143,4.33333333333333,4,3.4,3.83333333333333,3.83333333333333,"Female","below_ug","natural",1,22,1,"no",6,"izmir","more12months",2
"16",16,3,3,3,4,2,3,3,3,4,4,3,4,4,4,4,4,3,3,3,2,3,2,80,1,4,3,4,4,4,4,3,3,5,4,4,4,4,4,4,4,50,1,3,4,2,9,1,1,3,4,1,2,2,37,3,3.66666666666667,4,2.8,3.83333333333333,4,"Female","ug","not_sure",0,25,1,"no",5,"ankara","6to12months",2
"17",17,2,2,2,2,1,1,2,2,3,3,2,3,4,2,5,3,2,5,5,3,3,4,50,2,2,2,3,3,2,2,3,2,3,3,2,3,3,4,4,2,10,3,1,5,2,12,2,1,11,4,1,2,3,31,1.71428571428571,2.83333333333333,3.33333333333333,3.6,2.33333333333333,3.16666666666667,"Male","ug","natural",1,28,0,"no",5,"other","more12months",4
"18",18,2,1,2,2,2,2,2,3,4,2,2,4,4,1,2,1,5,5,4,4,4,2,67,2,4,3,3,3,1,3,3,1,3,4,3,3,4,4,4,2,22,1,1,3,4,13,2,1,11,4,1,2,3,14,1.85714285714286,3.16666666666667,1.33333333333333,4.4,2.83333333333333,3.66666666666667,"Male","ug","natural",1,29,1,"no",3,"other","less6months",2
"19",19,1,1,1,1,1,1,1,5,4,4,5,5,5,4,3,1,6,6,6,6,4,5,75,2,2,2,1,2,1,3,3,2,3,4,3,4,3,3,4,2,22,3,3,4,3,12,2,1,11,4,1,2,3,65,1,4.66666666666667,2.66666666666667,5.6,1.83333333333333,3.5,"Male","ug","not_sure",0,28,0,"no",4,"other","6to12months",5
"20",20,2,2,2,2,2,2,2,4,5,5,1,4,4,4,4,2,4,4,5,4,3,4,0,2,4,4,3,4,4,4,2,1,4,3,2,3,4,4,4,3,100,1,2,5,3,13,2,1,2,4,1,2,3,80,2,3.83333333333333,3.33333333333333,4,3.83333333333333,3.33333333333333,"Male","ug","artificial",0,29,1,"no",4,"istanbul","more12months",4
"21",21,3,1,2,1,1,3,2,4,2,4,4,4,4,2,4,3,4,6,4,2,3,2,84,2,4,2,4,4,4,4,3,2,5,4,3,4,3,3,4,2,13,3,2,2,4,4,1,1,3,3,1,2,3,50,1.85714285714286,3.66666666666667,3,3.8,3.66666666666667,3.5,"Female","below_ug","artificial",0,20,0,"no",3,"ankara","less6months",2
"22",22,2,2,2,2,2,2,2,5,3,5,4,4,5,5,5,5,3,2,3,2,1,4,90,1,4,2,3,3,3,4,2,2,3,4,4,4,4,4,4,3,90,1,3,3,1,10,1,1,2,3,1,2,3,60,2,4.33333333333333,5,2.2,3.16666666666667,4,"Female","below_ug","not_sure",0,26,1,"no",6,"istanbul","less6months",4
"23",23,4,3,4,4,2,4,4,3,3,3,4,4,3,2,5,3,6,3,3,2,2,1,38,1,4,3,4,3,4,4,2,1,3,4,3,2,4,1,4,1,82,3,1,4,5,10,1,1,4,5,1,2,3,33,3.57142857142857,3.33333333333333,3.33333333333333,3.2,3.66666666666667,3,"Female","pg","natural",1,26,0,"no",2,"izmir","6to12months",1
"24",24,2,1,2,2,2,2,2,4,4,4,2,4,4,4,4,4,3,5,5,2,2,4,73,2,4,4,3,4,4,4,2,2,4,4,4,4,4,4,4,3,30,1,3,5,3,12,1,1,2,5,1,2,3,86,1.85714285714286,3.66666666666667,4,3.4,3.83333333333333,4,"Female","pg","not_sure",0,28,1,"no",4,"istanbul","more12months",4
"25",25,2,1,2,2,1,1,2,3,3,3,4,4,4,2,2,2,5,4,4,5,2,2,77,1,3,1,3,3,2,4,2,2,4,4,2,2,3,1,2,1,49.8004646360351,1,1,4,4,9,1,1,2,4,1,2,4,19,1.57142857142857,3.5,2,4,2.66666666666667,2.33333333333333,"Female","ug","natural",1,25,1,"no",3,"istanbul","6to12months",2
"26",26,1,1,1,1,2,1,2,4,3,4,4,4,2,2,4,2,3,3,3,4,2,7,40,2,3,2,2,2,2,2,2,3,3,4,4,3,4,3,4,3,35,1,1,4,2,34,1,1,2,5,1,2,1,70,1.28571428571429,3.5,2.66666666666667,3,2.16666666666667,3.66666666666667,"Female","pg","natural",1,50,1,"no",5,"istanbul","6to12months",0
"27",27,2,2,4,4,2,3,1,4,4,5,5,4,5,4,5,4,1,1,1,1,1,4,40,2,4,3,4,4,3,4,3,1,3,4,4,4,4,4,4,1,50,1,1,5,3,5,1,1,68,3,1,2,3,70,2.57142857142857,4.5,4.33333333333333,1,3.66666666666667,4,"Female","below_ug","natural",1,21,1,"no",4,"other","more12months",4
"28",28,4,1,2,2,1,2,2,3,4,3,4,3,4,3,3,1,6,6,6,3,2,7,56.8690843621399,1,4,4,4,4,3,4,3,2,5,2,4,4,4,2,4,2,50,1,1,5,4,17,1,1,2,4,1,1,3,30,2,3.5,2.33333333333333,4.6,3.83333333333333,3.33333333333333,"Female","ug","natural",1,33,1,"yes",3,"istanbul","more12months",0
"29",29,1,1,2,1,1,2,2,2,2,2,4,4,4,4,4,2,5,3,5,3,3,4,90,2,3,2,4,3,2,1,2,1,1,4,3,2,4,3,4,2,49.8004646360351,1,1,4,3,28,2,1,2,4,1,1,3,50,1.42857142857143,3,3.33333333333333,3.8,2.5,3.33333333333333,"Male","ug","natural",1,44,1,"yes",4,"istanbul","6to12months",4
